id,parentId,name,size,type
369,17,L369,100,L
370,369,L370,100,L
371,370,L371,100,L
372,371,L372,100,L
373,369,N373,25,N
374,373,H374,6,H
375,373,H375,6,H
376,373,H376,6,H
377,373,H377,6,H
378,370,N378,25,N
379,378,H379,6,H
380,378,H380,6,H
381,378,H381,6,H
382,378,H382,6,H
383,371,N383,25,N
384,383,H384,6,H
385,383,H385,6,H
386,383,H386,6,H
387,383,H387,6,H
388,372,N388,25,N
389,388,H389,6,H
390,388,H390,6,H
391,388,H391,6,H
392,388,H392,6,H
393,18,L393,100,L
394,393,L394,100,L
395,393,N395,25,N
396,395,H396,6,H
397,395,H397,6,H
398,395,H398,6,H
399,395,H399,6,H
400,394,N400,25,N
401,400,H401,6,H
402,400,H402,6,H
403,400,H403,6,H
404,400,H404,6,H
405,19,L405,100,L
406,405,L406,100,L
407,406,L407,100,L
408,407,L408,100,L
409,408,L409,100,L
410,409,L410,100,L
411,405,N411,25,N
412,411,H412,6,H
413,411,H413,6,H
414,411,H414,6,H
415,411,H415,6,H
416,406,N416,25,N
417,416,H417,6,H
418,416,H418,6,H
419,416,H419,6,H
420,416,H420,6,H
421,407,N421,25,N
422,421,H422,6,H
423,421,H423,6,H
424,421,H424,6,H
425,421,H425,6,H
426,408,N426,25,N
427,426,H427,6,H
428,426,H428,6,H
429,426,H429,6,H
430,426,H430,6,H
431,409,N431,25,N
432,431,H432,6,H
433,431,H433,6,H
434,431,H434,6,H
435,431,H435,6,H
436,410,N436,25,N
437,436,H437,6,H
438,436,H438,6,H
439,436,H439,6,H
440,436,H440,6,H
441,22,L441,100,L
442,441,L442,100,L
443,442,L443,100,L
444,443,L444,100,L
445,441,N445,25,N
446,445,H446,6,H
447,445,H447,6,H
448,445,H448,6,H
449,445,H449,6,H
450,442,N450,25,N
451,450,H451,6,H
452,450,H452,6,H
453,450,H453,6,H
454,450,H454,6,H
455,443,N455,25,N
456,455,H456,6,H
457,455,H457,6,H
458,455,H458,6,H
459,455,H459,6,H
460,444,N460,25,N
461,460,H461,6,H
462,460,H462,6,H
463,460,H463,6,H
464,460,H464,6,H
465,23,L465,100,L
466,465,L466,100,L
467,465,N467,25,N
468,467,H468,6,H
469,467,H469,6,H
470,467,H470,6,H
471,467,H471,6,H
472,466,N472,25,N
473,472,H473,6,H
474,472,H474,6,H
475,472,H475,6,H
476,472,H476,6,H
477,20,L477,100,L
478,477,L478,100,L
479,478,L479,100,L
480,479,L480,100,L
481,480,L481,100,L
482,477,N482,25,N
483,482,H483,6,H
484,482,H484,6,H
485,482,H485,6,H
486,482,H486,6,H
487,478,N487,25,N
488,487,H488,6,H
489,487,H489,6,H
490,487,H490,6,H
491,487,H491,6,H
492,479,N492,25,N
493,492,H493,6,H
494,492,H494,6,H
495,492,H495,6,H
496,492,H496,6,H
497,480,N497,25,N
498,497,H498,6,H
499,497,H499,6,H
500,497,H500,6,H
501,497,H501,6,H
502,481,N502,25,N
503,502,H503,6,H
504,502,H504,6,H
505,502,H505,6,H
506,502,H506,6,H
507,3,L507,100,L
508,507,L508,100,L
509,508,L509,100,L
510,509,L510,100,L
511,507,N511,25,N
512,511,H512,6,H
513,511,H513,6,H
514,511,H514,6,H
515,511,H515,6,H
516,508,N516,25,N
517,516,H517,6,H
518,516,H518,6,H
519,516,H519,6,H
520,516,H520,6,H
521,509,N521,25,N
522,521,H522,6,H
523,521,H523,6,H
524,521,H524,6,H
525,521,H525,6,H
526,510,N526,25,N
527,526,H527,6,H
528,526,H528,6,H
529,526,H529,6,H
530,526,H530,6,H
531,25,L531,100,L
532,531,L532,100,L
533,532,L533,100,L
534,533,L534,100,L
535,534,L535,100,L
536,531,N536,25,N
537,536,H537,6,H
538,536,H538,6,H
539,536,H539,6,H
540,536,H540,6,H
541,532,N541,25,N
542,541,H542,6,H
543,541,H543,6,H
544,541,H544,6,H
545,541,H545,6,H
546,533,N546,25,N
547,546,H547,6,H
548,546,H548,6,H
549,546,H549,6,H
550,546,H550,6,H
551,534,N551,25,N
552,551,H552,6,H
553,551,H553,6,H
554,551,H554,6,H
555,551,H555,6,H
556,535,N556,25,N
557,556,H557,6,H
558,556,H558,6,H
559,556,H559,6,H
560,556,H560,6,H
